Sentence,Label
HUT INSTRUCTION~~HUT DEALS~~,"['O', 'O', 'O', 'C']"
HUT SML CLASSIC~~HUT SMALL PIZZA~~,"['O', 'S', 'B', 'O', 'S', 'C']"
0001-PIZZA FOOD~~PURCHASED ITEMS~~RAPESEED OIL KTC,"['C', 'O', 'O', 'O', 'O', 'O', 'O']"
HUT INSTRUCTION~~HUT DEALS~~,"['O', 'O', 'O', 'C']"
HUT INSTRUCTION~~HUT DEALS~~,"['O', 'O', 'O', 'C']"
HUT LG CLASSIC~~HUT LARGE PIZZA~~,"['O', 'S', 'B', 'O', 'S', 'C']"
JE. SML PIZZA~~JE. SMALL PIZZA~~S SF HOT HONEY PEPPERONI FEAST,"['O', 'S', 'C', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'O']"
DV. SML PIZZA~~DV. SMALL PIZZA~~S SF HOT HONEY PEPPERONI FEAST,"['O', 'S', 'C', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'O']"
UE. SML PIZZA~~UE. SMALL PIZZA~~S HOT HONEY PEPPERONI FEAST,"['O', 'S', 'C', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O']"
HUT SML CLASSIC~~HUT SMALL PIZZA~~,"['O', 'S', 'B', 'O', 'S', 'C']"
UE. SML PIZZA~~UE. SMALL PIZZA~~S SF HOT HONEY PEPPERONI FEAST,"['O', 'S', 'C', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'O']"
JE. SML PIZZA~~JE. SMALL PIZZA~~S HOT HONEY PEPPERONI FEAST,"['O', 'S', 'C', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O']"
DV. SML PIZZA~~DV. SMALL PIZZA~~S HOT HONEY PEPPERONI FEAST,"['O', 'S', 'C', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O']"
HUT INSTRUCTION~~HUT DEALS~~,"['O', 'O', 'O', 'C']"
HUT LG CLASSIC~~HUT LARGE PIZZA~~,"['O', 'S', 'B', 'O', 'S', 'C']"
HUT INSTRUCTION~~HUT DEALS~~,"['O', 'O', 'O', 'C']"
HUT LG CLASSIC~~HUT LARGE PIZZA~~,"['O', 'S', 'B', 'O', 'S', 'C']"
HUT INSTRUCTION~~HUT DEALS~~,"['O', 'O', 'O', 'C']"
HUT LG CLASSIC~~HUT LARGE PIZZA~~,"['O', 'S', 'B', 'O', 'S', 'C']"
HUT INSTRUCTION~~HUT DEALS~~,"['O', 'O', 'O', 'C']"
HUT INSTRUCTION~~HUT DEALS~~,"['O', 'O', 'O', 'C']"
HUT SML CLASSIC~~HUT SMALL PIZZA~~,"['O', 'S', 'B', 'O', 'S', 'C']"
DV. SML PIZZA~~DV. SMALL PIZZA~~S DEAL 1 HOT HONEY PEPPERONI FEAST,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'C', 'O', 'O', 'O', 'O', 'O']"
UE. SML PIZZA~~UE. SMALL PIZZA~~S DEAL 1 SF HOT HONEY PEPPERONI FEAST,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'O']"
JE. MED PIZZA~~JE. MED PIZZA~~M SF DEAL 1 HOT HONEY PEPPERONI FEAST,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'C', 'O', 'O', 'O', 'O', 'O']"
UE. LG PIZZA~~UE. LARGE PIZZA~~LARGE PLANT VEG SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~LARGE PLANT SAN FRAN VEG SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
UE. LG PIZZA~~UE. LARGE PIZZA~~LARGE DEAL 1 PLANT SAN FRAN VEG SIZZLER,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'O']"
UE. SML CLASSIC NO G~~UE. SMALL PIZZA~~S SF NG PLANT BM ITALIAN SAUSAGE,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'B', 'O']"
DV. MED PIZZA~~DV. MED PIZZA~~M SF HOT HONEY PEPPERONI FEAST,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
DV. SML PIZZA~~DV. SMALL PIZZA~~SMALL DEAL 2 PLANT MARGHERITA,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'C', 'O', 'O', 'O']"
UE. LG PIZZA~~UE. LARGE PIZZA~~LARGE UPG DEAL 1 PLANT VEG SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'C', 'O', 'O', 'O', 'O']"
JE. SML PIZZA~~JE. SMALL PIZZA~~SMALL DEAL 2 PLANT VEG SIZZLER,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'C', 'O', 'O', 'O', 'O']"
DV. SML PIZZA~~DV. SMALL PIZZA~~SMALL PLANT VEG SIZZLER,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O']"
UE. MED PIZZA~~UE. MED PIZZA~~M SF DEAL 2 PLANT VEG SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'C', 'O', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~L SF UPG DEAL 1 HOT HONEY PEPPERONI FEAS,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'C', 'O', 'O', 'O', 'O', 'O']"
UE. MED CLASSIC NO G~~UE. MED PIZZA~~YUM M CLASSIC (NO SPRINKLE) MEAT SUPREME,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'O', 'S', 'B', 'O', 'O', 'O', 'O']"
PHD SML CLASSIC NO G~~PHD SMALL PIZZA~~MB S CLC NG MEAT SUPREME MYBOX,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'O', 'S', 'O', 'O', 'O', 'O', 'O']"
PHD TOPPINGS DEFAULT~~PHD TOPPINGS~~L SC 58G CUP N CRISP PEPPERONI,"['O', 'C', 'O', 'O', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O']"
JE. LG PIZZA~~JE. LARGE PIZZA~~LARGE DEAL 3 MEAT SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'C', 'O', 'O', 'O']"
