Sentence,Label
HUT LG CLASSIC NO GR~~HUT LARGE PIZZA~~L SF NG HOT HONEY PEPPERONI FEAST,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
PREP BASE SAUCE/CHS~~PREP BUILD~~L SC 170G PLANT CHEEZE,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
UE. DEALS~~UE. DEALS~~UE C2 DEAL 1 MEDIUM PIZZA,"['O', 'C', 'O', 'C', 'O', 'O', 'O', 'O', 'S', 'C']"
DV. LG CLASSIC NO GR~~DV. LARGE PIZZA~~LARGE SAN FRAN NO GARLIC MEAT SUPREME,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O']"
UE. PREMIUM SIDES~~UE. SIDES~~HOT HONEY BBQ CHICKEN WINGS,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
UE. LG PIZZA~~UE. LARGE PIZZA~~L SF DEAL 1 SF HOT HONEY PEPPERONI FEAST,"['O', 'S', 'C', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~LARGE DEAL 3 PLANT VEG SIZZLER,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
JE. LG PAN~~JE. LARGE PIZZA~~L PAN HOT HONEY PEPPERONI FEAST,"['O', 'S', 'B', 'O', 'S', 'C', 'O', 'B', 'O', 'O', 'O', 'O']"
DV. MED CLASSIC NO G~~DV. MED PIZZA~~M CLC NG PLANT VEG SIZZLER,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'O']"
JE. LG STUFFED CRUST~~JE. LARGE PIZZA~~YUM TEST STUFFED CRUST MEAT SUPREME,"['O', 'S', 'B', 'B', 'O', 'S', 'C', 'O', 'O', 'B', 'B', 'O', 'O']"
UE. LG PIZZA~~UE. LARGE PIZZA~~LARGE MEAT SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O']"
UE. MED CLASSIC GF~~UE. MED PIZZA~~YUM GLUTEN FREE MEAT SUPREME,"['O', 'S', 'B', 'O', 'O', 'S', 'C', 'O', 'B', 'O', 'O', 'O']"
JE. SML PIZZA~~JE. SMALL PIZZA~~SMALL SAN FRAN DEAL 1 MEAT SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O']"
DV. LG PAN~~DV. LARGE PIZZA~~L PAN PLANT MARGHERITA,"['O', 'S', 'B', 'O', 'S', 'C', 'O', 'B', 'O', 'O']"
PHD TOPPINGS DEFAULT~~PHD TOPPINGS~~M PLANT (EXT) CHEEZE +100 PLANT -150 MOZ,"['O', 'C', 'O', 'O', 'C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
HUT LG PAN~~HUT LARGE PIZZA~~L PAN PLANT BM ITALIAN SAUSAGE,"['O', 'S', 'B', 'O', 'S', 'C', 'O', 'B', 'O', 'O', 'B', 'O']"
DV. SML CLASSIC NO G~~DV. SMALL PIZZA~~S SF NG PLANT BM ITALIAN SAUSAGE,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'B', 'O']"
HUT SML CLASSIC NO G~~HUT SMALL PIZZA~~S CLC NG PLANT MARGHERITA,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O']"
PREP BASES~~FOOD PREPARED ITEMS~~SLICE BNY VEGETABLE SUPREME WITH GARLIC,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
JE. LG PIZZA~~JE. LARGE PIZZA~~LARGE DEAL 3 PLANT MARGHERITA,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O']"
UE. PREMIUM SIDES~~UE. SIDES~~ANY £1 HOT HONEY BBQ CHICKEN WINGS,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
0002-PIZZA TOPPINGS~~PURCHASED ITEMS~~ZTURKEY STAMP,"['C', 'C', 'O', 'O', 'O', 'O']"
UE. SML PIZZA~~UE. SMALL PIZZA~~SMALL DEAL 2 MEAT SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~L UPG DEAL 1 HOT HONEY PEPPERONI FEAST,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
UE. LG CLASSIC NO GR~~UE. LARGE PIZZA~~L SF NG PLANT VEG SIZZLER,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~L SF DEAL 2 MEAT SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
DV. SML PIZZA~~DV. SMALL PIZZA~~SMALL DEAL 2 PLANT SAN FRAN VEG SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
UE. MED PIZZA~~UE. MED PIZZA~~MEDIUM DEAL 2 PLANT VEG SIZZLE,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
DV. SML CLASSIC NO G~~DV. SMALL PIZZA~~YUM S CLASSIC (NO SPRINKLE) MEAT SUPREME,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'O', 'S', 'B', 'O', 'O', 'O']"
